data,daily_return,log_return,rolling_mean_7d,rolling_std_7d,price_momentum_5d,spike_signal,spike_intensity,inter_spike_interval,india_repo_rate,target
2023-01-04,0.0009636139341564487,0.0009631499562891679,82.7998275756836,0.0547104007097077,-0.0005963695416989873,0,0.0,8.0,7.39,0
2023-01-05,-0.0014398822879641004,-0.0014409199146254712,82.77332741873605,0.06843379608895639,-0.002035393127722922,0,0.0,9.0,7.39,0
2023-01-06,-0.00025758488741800534,-0.00025761806810313607,82.74619947160993,0.07697180240953377,-0.0022924537286313196,0,0.0,10.0,7.39,0
2023-01-07,0.0,0.0,82.71907152448382,0.07381715755535719,-0.0012640392720682724,0,0.0,11.0,7.39,0
2023-01-08,0.0,0.0,82.6919435773577,0.05706248853042787,-0.0007351176949351046,0,0.0,12.0,7.39,0
2023-01-09,-0.004498788457519165,-0.0045089384595600026,82.62388610839844,0.16276042967931426,-0.006188249863812977,1,0.004498788457519165,13.0,7.39,0
2023-01-10,-0.001134022253320488,-0.001134665743089815,82.54875728062221,0.22717064908886592,-0.005883844259248714,0,0.0,1.0,7.39,0
2023-01-11,-0.0066038094937478364,-0.006625711119690407,82.38471439906529,0.3863728432388414,-0.012194354160343087,1,0.0066038094937478364,2.0,7.39,0
2023-01-12,-6.859571396411468e-05,-6.859806675769679e-05,82.23690032958984,0.4528140241446947,-0.012262113393877224,0,0.0,1.0,7.39,0
2023-01-13,-0.006323482007764225,-0.0063435599063559325,82.0183857509068,0.5754136535575539,-0.01850805614821806,1,0.006323482007764225,2.0,7.39,0
2023-01-14,0.0,0.0,81.79987117222377,0.588003193624325,-0.014072577238748081,0,0.0,1.0,7.39,0
2023-01-15,0.0,0.0,81.58135659354073,0.49898014940272795,-0.012953244252662812,0,0.0,2.0,7.39,1
2023-01-16,0.0020020722378815137,0.002000070762212694,81.43915666852679,0.40113246403552577,-0.004402368253006413,0,0.0,3.0,7.39,1
2023-01-17,0.004608913507308188,0.004598324987365932,81.36380004882812,0.26528485344294267,0.00025486831663448957,1,0.004608913507308188,4.0,7.39,0
2023-01-18,-0.0015566645518703126,-0.0015578774129758443,81.34781428745815,0.24891693497876788,0.005053243120004695,0,0.0,1.0,7.39,0
2023-01-19,-0.0010978212959176226,-0.0010984243431156134,81.31984274727958,0.2211374218699619,0.003949874266176473,0,0.0,2.0,7.39,0
2023-01-20,-0.0024092234020696157,-0.0024121302505402914,81.33758544921875,0.20651835787910344,0.0015311347345895179,0,0.0,3.0,7.39,0
2023-01-21,0.0,0.0,81.35532815115792,0.18884746092008753,-0.0004699965362747776,0,0.0,4.0,7.39,0
2023-01-22,0.0,0.0,81.3730708530971,0.1671596644407411,-0.005055609178153998,0,0.0,5.0,7.39,0
2023-01-23,-0.003247196279806408,-0.003252479862633663,81.32992771693638,0.2248159355171985,-0.006740216607038746,1,0.003247196279806408,6.0,7.39,1
2023-01-24,0.006322874070327611,0.00630296856468088,81.30641283307757,0.19159404338044952,0.0006385622456255535,1,0.006322874070327611,1.0,7.39,1
2023-01-25,0.001397742396516355,0.0013967664639085865,81.31732722691127,0.20765730241501842,0.004457158881218467,0,0.0,1.0,7.39,0
2023-01-26,-0.001215625982869395,-0.0012163654554766664,81.3268563406808,0.21539674628686972,0.003236114660203265,0,0.0,2.0,7.39,0
2023-01-27,-0.0007067487106749981,-0.0007069985752796129,81.35618482317243,0.21554420832650556,0.002527078829664519,0,0.0,3.0,7.39,0
2023-01-28,0.0,0.0,81.38551330566406,0.21098770922248541,0.00579308639807132,0,0.0,4.0,7.39,0
2023-01-29,0.0,0.0,81.4148417881557,0.20140824563688098,-0.0005264589386838713,0,0.0,5.0,7.39,1
2023-01-30,0.0007723528951102399,0.0007720547841010058,81.4908425467355,0.05635305386816203,-0.0011506467444373097,0,0.0,6.0,7.39,1
2023-01-31,0.0008821147765738502,0.0008817259419820168,81.50397164481026,0.06553752538052594,0.0009472304905060714,0,0.0,7.0,7.39,1
2023-02-01,0.0023106113707291875,0.0023079460132232324,81.5277579171317,0.11700737345409781,0.003969584752358088,0,0.0,8.0,7.33,0
2023-02-02,-0.0007106103000424913,-0.0007108629032171221,81.55741446358817,0.1345859704153001,0.0032561536245036614,0,0.0,9.0,7.33,1
2023-02-03,0.004107215620043236,0.004098804034233619,81.64324297223773,0.21722353006513148,0.007376742969574635,1,0.004107215620043236,10.0,7.33,0
2023-02-04,0.0,0.0,81.72907148088727,0.24304354308560294,0.0065992930913395965,0,0.0,1.0,7.33,0
2023-02-05,0.0,0.0,81.81489998953683,0.23187429546538357,0.005712139552061047,0,0.0,2.0,7.33,1
2023-02-06,0.0021951065285961135,0.0021927008021674515,81.91747065952846,0.23229465173188407,0.005596242722682465,0,0.0,3.0,7.33,1
